	Adult_FG_1	Adult_FG_2	Adult_FG_3	Adult_OV_1	Adult_OV_2	Adult_OV_3
FUN_000231-T1	0	0	1	9	0	0
FUN_000232-T1	0	5	0	0	0	0
FUN_000233-T1	0	0	0	0	0	0
FUN_000234-T1	4	28	1	15	18	2
FUN_000235-T1	0	1	0	0	0	0
FUN_000236-T1	0	0	0	0	3	0
FUN_000237-T1	0	0	0	0	0	0
FUN_000238-T1	0	0	0	0	0	0
FUN_000239-T1	0	0	0	0	0	0
FUN_000240-T1	0	0	0	0	0	0
FUN_000241-T1	0	0	0	0	0	0
FUN_000242-T1	0	3	0	0	0	0
FUN_000243-T1	0	0	0	0	0	0
FUN_000244-T1	2	0	1	0	5	0
FUN_000245-T1	0	0	0	0	0	0
FUN_000246-T1	0	0	0	0	0	0
FUN_000247-T1	0	5	0	0	1	1
FUN_000248-T1	0	0	0	0	0	0
FUN_000249-T1	15	23	5	0	3	0
FUN_000250-T1	3	42	7	40	91	36
FUN_000251-T1	14	23	9	14	57	6
FUN_000252-T1	8	2	2	1	2	1
FUN_000253-T1	0	0	0	0	0	0
FUN_000254-T1	274	514	185	294	894	217
FUN_000255-T1	23	30	13	24	107	18
FUN_000256-T1	732	1092	557	354	1925	434
FUN_000257-T1	0	0	0	0	0	0
FUN_000258-T1	0	3	0	0	0	0
FUN_000259-T1	0	0	0	0	0	0
FUN_000260-T1	0	2	6	0	0	0
FUN_000261-T1	1	0	0	0	0	0
FUN_000262-T1	0	0	0	0	0	0
FUN_000263-T1	0	25	4	0	25	8
FUN_000264-T1	0	0	0	0	0	0
FUN_000265-T1	0	5	3	0	14	1
FUN_000266-T1	0	0	0	0	0	0
FUN_000267-T1	0	0	0	0	0	0
FUN_000268-T1	0	0	0	0	0	0
FUN_000269-T1	0	0	0	0	0	0
FUN_000270-T1	0	0	0	0	0	0
FUN_000271-T1	0	0	0	0	0	0
FUN_000272-T1	0	0	0	0	1	0
FUN_000273-T1	8	216	28	9	126	20
FUN_000274-T1	1	54	2	16	545	88
FUN_000275-T1	2	20	4	2	56	3
FUN_000276-T1	0	6	0	0	5	0
FUN_000277-T1	0	0	0	0	3	0
FUN_000278-T1	7	57	4	2	25	8
FUN_000279-T1	29	470	65	41	626	105
FUN_000280-T1	0	0	0	0	0	0
FUN_000281-T1	0	0	0	0	0	0
FUN_000282-T1	1	0	0	0	0	0
FUN_000283-T1	6	54	10	0	49	1
FUN_000284-T1	2	0	0	0	3	1
FUN_000285-T1	0	0	0	0	0	0
FUN_000286-T1	0	0	0	0	0	0
FUN_000287-T1	0	0	0	0	0	0
FUN_000288-T1	3	15	4	5	23	1
FUN_000289-T1	1	36	3	10	34	2
FUN_000290-T1	1	22	0	3	23	2
